experiment	feature_set	domain	class	precision_mean	precision_std	recall_mean	recall_std	f1_mean	f1_std
multiclass_domain	all	blog_authorship_corpus	human	0.7951983631504049	0.021370149381511848	0.7849595813350224	0.02776091556592766	0.7897685830449148	0.019956549825357998
multiclass_domain	all	cnn_news	gemma2_9b	0.923163780689358	0.009381325025129466	0.9179955179042338	0.00959099840437486	0.9205196514739464	0.006394798696140314
multiclass_domain	all	cnn_news	gpt-4o-mini	0.923942479098718	0.008491057993190283	0.9229969185591608	0.00996702425211103	0.9234267439947362	0.0067707937600640766
multiclass_domain	all	cnn_news	human	0.9789633586327386	0.0051413005553449485	0.9852349960878258	0.005339141857333231	0.9820746486159629	0.003618875231258067
multiclass_domain	all	euro_court_cases	gemma2_9b	0.9673268251689321	0.011162630365811183	0.9605045871559633	0.011606428501424983	0.963839157592297	0.008201969953784978
multiclass_domain	all	euro_court_cases	gpt-4o-mini	0.9586361170918885	0.011907787823828779	0.9608715596330275	0.012733933069953228	0.9596782237598381	0.008954129023745415
multiclass_domain	all	euro_court_cases	human	0.9906761336102501	0.006125099874948082	0.9950458715596331	0.004732207615031125	0.9928409487696672	0.0038477709897480417
multiclass_domain	all	house_of_commons	gemma2_9b	0.9297239807590851	0.013744184671606053	0.9201190476190476	0.014761545946701251	0.9247886124209203	0.010108304303170492
multiclass_domain	all	house_of_commons	gpt-4o-mini	0.9270619261798626	0.013334678505953875	0.9349404761904762	0.013733541651327136	0.9308798701431462	0.009203360997103201
multiclass_domain	all	house_of_commons	human	0.978827443457843	0.008420223283362305	0.9801190476190476	0.00775265031387985	0.9794368681233315	0.005484069549078624
